City,Cloudiness %,Country,Date,Humidity %,Latitude,Longitued,Max Temp (F),Wind Speed (mph)
Rio Gallegos,0,AR,1570086442,81,-51.62,-69.22,37.4,5.7
Namatanai,94,PG,1570086442,76,-3.66,152.44,80.24000000000001,3.84
Ossora,39,RU,1570086443,75,59.24,163.07,35.384,2.91
Ola,100,RU,1570086443,65,59.58,151.3,36.86,1.99
Anzio,20,IT,1570086443,87,41.45,12.63,68.0,2.1
Dongning,100,CN,1570086444,73,44.06,131.12,65.49799999999999,4.35
Roccastrada,20,IT,1570086444,87,43.01,11.17,71.006,2.1
Myingyan,75,MM,1570086444,59,21.46,95.39,95.0,4.1
Bay Roberts,90,CA,1570086445,93,47.58,-53.28,42.007999999999996,6.2
Palaikastron,0,GR,1570086445,82,35.2,26.25,72.878,0.88
Tateyama,75,JP,1570086446,37,36.66,137.31,87.008,5.1
Adjumani,43,UG,1570086446,85,3.38,31.79,74.138,0.79
Alexandria,0,RO,1570086176,44,43.97,25.33,70.178,1.53
Lagoa,0,PT,1570086151,67,37.14,-8.45,60.8,3.1
Bluefields,83,NI,1570086447,98,12.01,-83.77,72.572,0.68
Maniitsoq,58,GL,1570086448,53,65.42,-52.9,43.106,4.72
Wilmington,90,US,1570086390,82,39.75,-75.55,73.994,3.1
Florida,44,UY,1570086449,81,-34.1,-56.21,44.69,4.11
Tornio,75,FI,1570086449,80,61.12,27.27,39.2,4.6
Beloha,91,MG,1570086449,71,-25.17,45.06,74.786,6.38
Buenaventura,100,CO,1570086450,78,3.89,-77.07,78.25999999999999,1.95
San Cristobal,97,HN,1570086450,96,14.68,-86.92,66.668,0.6
Hammerfest,75,NO,1570086291,86,70.66,23.68,37.4,8.2
Coihaique,0,CL,1570086451,99,-45.58,-72.07,32.0,2.1
Atherton,75,AU,1570086341,83,-17.27,145.48,71.99600000000001,9.3
Khudumelapye,0,BW,1570086511,64,-23.91,24.95,59.144000000000005,9.0
Sangar,71,RU,1570086349,55,63.92,127.47,31.424,4.6
Mabaruma,66,GY,1570086512,97,8.2,-59.78,72.5,0.27
Flin Flon,41,CA,1570086513,91,54.77,-101.88,32.882,1.94
Takoradi,100,GH,1570086513,96,4.89,-1.75,73.47200000000001,0.73
Biak,88,ID,1570086514,96,-0.91,122.88,67.874,1.97
Kudahuvadhoo,96,MV,1570086514,72,2.67,72.89,84.11,3.93
Melivoia,40,GR,1570086514,83,41.33,24.93,71.99600000000001,3.6
Orotukan,8,RU,1570086515,83,62.26,151.67,18.68,0.81
Port Macquarie,5,AU,1570086230,41,-31.43,152.91,75.2,4.1
Cascais,20,PT,1570086515,87,38.7,-9.42,62.006,4.1
Amapa,20,HN,1570086516,88,15.09,-87.97,77.0,1.5
Tromso,75,NO,1570086516,65,69.65,18.96,37.4,3.6
Lebu,75,ET,1570086516,68,8.96,38.73,64.4,3.6
Golden,90,US,1570086351,76,39.76,-105.22,51.008,1.5
Missoula,1,US,1570086517,80,46.87,-114.0,33.8,0.69
Chanika,84,MW,1570086517,81,-12.93,34.19,68.95400000000001,4.57
Arinos,0,BR,1570086518,41,-15.92,-46.11,68.864,3.27
Arlit,36,NE,1570086518,13,18.74,7.39,86.378,3.13
Tuatapere,96,NZ,1570086518,89,-46.13,167.69,48.992000000000004,1.79
Vila Velha,0,BR,1570086452,78,-3.71,-38.6,75.2,2.6
Haapiti,20,PF,1570086519,69,-17.57,-149.87,78.80000000000001,3.1
Wattegama,3,LK,1570086519,51,7.35,80.68,89.762,1.58
Saint-Augustin,5,CA,1570086519,82,45.63,-73.98,42.007999999999996,2.49
Sorland,20,NO,1570086520,56,67.67,12.69,42.8,7.2
Mana,1,NG,1570086520,85,13.03,5.27,76.352,3.7
Tautira,20,PF,1570086520,69,-17.73,-149.15,78.80000000000001,3.1
Suntar,100,RU,1570086521,74,62.16,117.65,35.888,3.87
Muros,75,ES,1570086521,100,42.77,-9.06,60.008,1.5
San Juan,35,AR,1570086522,34,-31.54,-68.53,37.328,0.73
Mapiripan,100,CO,1570086522,94,2.89,-72.13,74.03,1.04
Lata,46,IN,1570086522,70,30.78,78.62,44.042,3.81
Cam Ranh,20,VN,1570086523,66,11.92,109.15,89.6,5.1
Copiapo,0,CL,1570086523,81,-27.37,-70.33,51.8,2.6
Rawlins,1,US,1570086450,68,41.79,-107.24,33.8,1.5
Lavrentiya,53,RU,1570086524,80,65.58,-170.99,30.47,4.48
Soyo,75,AO,1570086524,94,-6.13,12.37,75.2,2.6
Bereda,0,ES,1570086525,100,43.27,-7.54,55.994,2.6
Port Blair,34,IN,1570086525,67,11.67,92.75,82.346,0.44
Mecca,29,SA,1570086525,59,21.43,39.83,88.44800000000001,0.67
Bela Vista do Paraiso,0,BR,1570086525,69,-23.0,-51.19,77.0,2.6
Edd,21,ER,1570086526,52,13.93,41.69,90.536,1.18
Byron Bay,0,AU,1570086526,52,-28.65,153.62,75.2,5.7
Kununurra,0,AU,1570086527,6,-15.77,128.74,102.2,8.7
Vao,85,EE,1570086527,82,59.1,26.19,44.096000000000004,4.31
Puerto Suarez,58,BO,1570086527,61,-18.96,-57.8,66.794,3.35
Spearfish,1,US,1570086241,86,44.49,-103.86,37.994,4.1
Namie,75,JP,1570086528,64,37.52,140.86,75.992,5.7
Rome,20,IT,1570086528,87,41.89,12.48,68.0,2.1
Rapar,0,IN,1570086529,60,23.57,70.65,87.044,4.7
Husavik,100,CA,1570086530,92,50.56,-96.99,41.0,3.31
Greenville,1,US,1570086309,78,34.85,-82.4,78.008,2.08
Kawalu,75,ID,1570086530,49,-7.38,108.21,84.434,4.26
Sola,83,TZ,1570086531,55,-3.17,33.8,74.786,3.82
Chunskiy,100,RU,1570086532,42,56.08,99.63,46.67,4.26
Dhone,100,IN,1570086532,58,15.4,77.87,85.316,0.75
Morgan City,1,US,1570086533,100,29.7,-91.21,77.0,0.51
Waddan,0,LY,1570086533,18,29.16,16.14,79.844,6.11
Shache,86,CN,1570086533,89,38.42,77.24,73.004,2.38
Anuchino,100,RU,1570086594,71,43.97,133.06,69.08000000000001,3.93
Port-Cartier,75,CA,1570086594,86,50.03,-66.88,33.8,3.6
Haimen,16,CN,1570086595,57,31.87,121.18,93.00200000000001,1.57
Tshikapa,52,CD,1570086595,81,-6.42,20.79,71.168,0.76
Adur,0,AZ,1570086595,60,41.12,48.3,69.80000000000001,2.18
Colares,20,PT,1570086596,87,38.8,-9.45,62.006,4.1
Emerald,40,AU,1570086409,25,-23.53,148.16,84.2,4.1
Varna,0,BG,1570086596,83,43.22,27.9,71.006,3.1
Hambantota,40,LK,1570086597,94,6.12,81.12,80.6,3.6
Payson,1,US,1570086597,65,40.04,-111.73,44.996,1.5
Salalah,20,OM,1570086598,66,17.01,54.1,86.0,4.6
Sabha,0,LY,1570086598,19,27.03,14.43,76.856,5.64
Sao Gabriel da Cachoeira,100,BR,1570086598,84,-0.13,-67.09,73.886,1.31
Mao,75,DO,1570086599,100,19.55,-71.08,78.008,0.99
Ginir,13,ET,1570086599,71,7.14,40.71,68.19800000000001,0.84
Gunjur,40,GM,1570086600,100,13.18,-16.76,77.0,2.1
Horizontina,98,BR,1570086600,94,-27.63,-54.31,66.00200000000001,4.34
Cape Canaveral,1,US,1570086600,83,28.41,-80.6,80.6,4.6
Etaples,0,FR,1570086600,93,50.52,1.63,48.002,2.1
Tomakomai,75,JP,1570086601,83,42.65,141.6,71.6,7.7
Boda,73,CF,1570086601,96,4.32,17.47,68.918,0.91
Chapais,1,CA,1570086603,96,49.78,-74.86,32.0,1.0
Sisimiut,2,GL,1570086603,63,66.94,-53.67,42.476,1.96
California City,1,US,1570086604,21,35.13,-117.99,57.002,2.1
Hinton,12,CA,1570086604,86,53.4,-117.57,34.484,2.23
Inta,100,RU,1570086604,95,66.04,60.13,40.856,3.68
Kushiro,75,JP,1570086605,93,43.11,144.15,64.4,4.1
Uusikaupunki,75,FI,1570086605,80,60.8,21.41,41.0,5.1
Fuerte Olimpo,21,BR,1570086605,81,-21.04,-57.87,62.995999999999995,2.71
Mantua,20,IT,1570086606,82,45.16,10.79,59.0,1.0
Opuwo,7,NA,1570086526,34,-18.06,13.84,66.992,0.32
Aanekoski,40,FI,1570086606,80,62.6,25.73,35.996,5.1
Cururupu,2,BR,1570086606,94,-1.82,-44.87,72.122,1.1
Sayan,20,ID,1570086607,70,-8.51,115.24,86.0,5.1
Abrau-Dyurso,0,RU,1570086607,34,44.7,37.6,82.4,4.0
Nantucket,90,US,1570086607,66,41.28,-70.1,55.994,7.2
Cooma,1,AU,1570086324,17,-36.24,149.13,75.2,5.1
Irbeyskoye,100,RU,1570086608,48,55.64,95.45,49.406,7.15
Rawson,0,AR,1570086609,41,-43.3,-65.11,44.744,4.41
Ternate,40,PH,1570086609,55,14.29,120.72,89.006,4.1
Jacmel,93,HT,1570086609,88,18.24,-72.54,77.0,2.6
Berdigestyakh,100,RU,1570086609,55,62.1,126.7,31.208,3.79
Maieru,35,RO,1570086610,80,47.4,24.74,55.994,1.39
Sayyan,9,YE,1570086610,44,15.17,44.32,74.98400000000001,0.97
Dolinsk,75,RU,1570086610,81,47.32,142.8,53.6,5.0
Auki,46,NG,1570086611,89,12.18,6.51,71.924,2.92
Waipawa,100,NZ,1570086611,73,-39.94,176.59,46.994,3.17
Slonim,100,BY,1570086611,92,53.09,25.32,47.966,5.46
Galesong,20,ID,1570086497,38,-5.32,119.37,91.4,7.2
Leshukonskoye,27,RU,1570086612,86,64.9,45.76,36.05,3.78
Jarvakandi,40,EE,1570086613,100,58.78,24.83,44.6,2.6
Tahoua,0,NE,1570086613,88,14.89,5.26,77.0,2.1
Imbituba,75,BR,1570086613,88,-28.24,-48.67,69.80000000000001,1.0
Zhigansk,18,RU,1570086614,54,66.77,123.37,29.462,1.95
Yumen,52,CN,1570086614,20,40.29,97.04,63.068000000000005,9.07
Buala,61,SB,1570086615,79,-8.15,159.59,80.97800000000001,5.92
Orlik,0,PL,1570086615,87,53.95,17.74,44.6,3.1
Amazar,43,RU,1570086616,33,53.86,120.88,40.730000000000004,1.96
Roald,40,NO,1570086616,87,62.58,6.12,42.998000000000005,1.5
Rocha,69,UY,1570086737,90,-34.48,-54.34,47.120000000000005,3.74
Guerrero Negro,0,MX,1570086468,78,27.97,-114.04,66.56,5.2
Grindavik,90,IS,1570086737,87,63.84,-22.43,46.4,19.5
Yanam,40,IN,1570086738,66,16.73,82.22,89.6,4.1
Blagoveshchenka,27,RU,1570086738,62,52.83,79.87,46.238,1.04
